Ensemble member,year,Heatwave number (clusterID),day 0 (index),start date,end date,duration in days,maximum spatial extent in km2,cumulative_heat_index (C*km2),peak intensity (max(sum(temp) per day)),peak intensity day,average daily temp (mean(mean C per day)),average daily temp (mean of all temperatures),"spatial range (lon_min, lon_max, lat_min, lat_max)",midpoint tracker
0,2000,-1 (NOISE), , , , , , , , , , , , 
0,2000,0,0,2000-07-01,2000-07-03,3,81335,4576329.01,551.62,07-02,24.15,24.3,"(10.546875, 14.765625, 51.5788101317764, 53.6840624247402)","(12.3046875, 52.98231173787323)(12.65625, 52.631436336349026)(13.359375, 52.631436336349026)"
0,2000,1,1,2000-07-02,2000-07-04,3,52266,2907089.07,306.14,07-02,23.17,23.29,"(11.953125, 14.765625, 48.0700542447729, 49.4735568764181)","(13.359375, 48.7718055748989)(13.7109375, 48.7718055748989)(13.7109375, 48.7718055748989)"
0,2000,2,44,2000-08-14,2000-08-16,3,73898,6240641.69,519.8,08-15,34.13,34.19,"(7.734375, 10.546875, 35.4385190210863, 36.8420237038942)","(9.140625, 36.140271368586205)(9.140625, 36.140271368586205)(9.140625, 36.140271368586205)"
0,2001,-1 (NOISE), , , , , , , , , , , , 
0,2001,0,0,2001-07-01,2001-07-03,3,73898,4337450.62,330.89,07-01,22.63,22.59,"(0.703125, 3.515625, 35.4385190210863, 36.8420237038942)","(2.109375, 36.140271368586205)(2.109375, 36.140271368586205)(2.109375, 36.140271368586205)"
0,2001,1,0,2001-07-01,2001-07-07,7,243897,36709547.96,1394.92,07-01,27.02,27.08,"(7.734375, 14.765625, 35.4385190210863, 38.9472804370071)","(11.25, 37.19289979422315)(11.25, 37.19289979422315)(11.25, 37.19289979422315)(11.953125, 37.19289979422315)(11.953125, 37.19289979422315)(12.3046875, 37.19289979422315)(11.953125, 37.19289979422315)"
0,2001,2,0,2001-07-01,2001-07-04,4,251278,21633743.61,1412.06,07-03,26.22,26.08,"(7.734375, 14.765625, 38.9472804370071, 43.8595445166024)","(11.25, 41.40341265650116)(11.25, 41.40341265650116)(11.25, 41.40341265650116)(11.953125, 40.70166067834521)"
0,2001,3,15,2001-07-16,2001-07-25,10,693285,62744478.53,2563.71,07-19,16.4,16.17,"(-9.140625, 12.65625, 45.263048035017, 54.3858129450494)","(-0.703125, 49.122680722715835)(3.1640625, 49.122680722715835)(3.8671875, 49.122680722715835)(1.40625, 50.175307385181746)(0.703125, 51.57880977499397)(1.0546875, 51.92968529643001)(3.515625, 52.63143623936477)(5.9765625, 53.33318703966727)(4.640625, 52.9823116580891)(7.606534090909091, 52.9823116580891)"
0,2001,4,17,2001-07-18,2001-07-20,3,55819,2450874.05,249.72,07-19,21.08,20.39,"(7.03125, 10.546875, 44.5612963074929, 45.9647996959973)","(8.4375, 45.26304801283573)(9.140625, 45.26304801283573)(9.4921875, 44.91217217125495)"
0,2001,5,24,2001-07-25,2001-07-24,3,190166,10951620.46,990.24,07-25,23.29,23.21,"(7.734375, 14.765625, 42.45604075651, 46.6665512870549)","(11.25, 44.561296180572874)(11.6015625, 44.561296180572874)(11.25, 44.561296180572874)"
0,2001,6,24,2001-07-25,2001-07-27,3,68659,5314268.65,425.37,07-27,28.28,28.53,"(-7.03125, -4.921875, 35.4385190210863, 37.5437759887994)","(-6.328125, 36.491147523639505)(-5.9765625, 36.491147523639505)(-5.9765625, 36.491147523639505)"
0,2001,7,24,2001-07-25,2001-07-27,3,43532,3155265.7,262.86,07-26,29.63,29.66,"(-4.21875, -2.8125, 36.8420237038942, 38.2455282337738)","(-3.515625, 37.894652111286604)(-3.515625, 37.54377597548913)(-3.515625, 37.54377597548913)"
0,2001,8,46,2001-08-16,2001-08-20,5,117429,9682881.95,677.23,08-19,27.04,27.41,"(-7.03125, -3.515625, 35.4385190210863, 38.2455282337738)","(-5.625, 35.789395200932205)(-5.2734375, 36.491147523639505)(-5.2734375, 36.84202366566636)(-5.2734375, 36.84202366566636)(-4.21875, 35.789395200932205)"
